Sample,Project
PD4781c_lo0003,1805
PD4781c_lo0004,1805
PD4781c_lo0005,1805
PD4781c_lo0006,1805
PD4781c_lo0007,1805
PD4781c_lo0008,1805
PD4781c_lo0009,1805
PD4781c_lo0010,1805
PD4781c_lo0011,1805
PD4781c_lo0012,1805
PD4781c_lo0013,1805
PD4781c_lo0014,1805
PD4781c_lo0015,1805
PD4781c_lo0016,1805
PD4781c_lo0017,1805
PD4781c_lo0018,1805
PD4781c_lo0019,1805
PD4781c_lo0020,1805
PD4781c_lo0021,1805
PD4781c_lo0022,1805
PD4781c_lo0023,1805
PD4781c_lo0024,1805
PD4781c_lo0025,1805
PD4781c_lo0026,1805
PD4781c_lo0027,1805
PD4781c_lo0028,1805
PD4781c_lo0029,1805
PD4781c_lo0030,1805
PD4781c_lo0031,1805
PD4781c_lo0032,1805
PD4781c_lo0033,1805
PD4781c_lo0034,1805
PD4781c_lo0035,1805
PD4781c_lo0036,1805
PD4781c_lo0039,1805
PD4781c_lo0040,1805
PD4781c_lo0041,1805
PD4781c_lo0042,1805
PD4781c_lo0043,1805
PD4781c_lo0044,1805
PD4781d_lo0001,1805
PD4781d_lo0002,1805
PD4781d_lo0003,1805
PD4781d_lo0007,1805
PD4781d_lo0014,1805
PD4781d_lo0017,1805
PD4781d_lo0026,1805
PD4781d_lo0028,1805
PD4781d_lo0029,1805
PD4781d_lo0032,1805
PD5117aa,1805
PD5117ab,1805
PD5117ac,1805
PD5117ad,1805
PD5117ae,1805
PD5117af,1805
PD5117ag,1805
PD5117ah,1805
PD5117ai,1805
PD5117aj,1805
PD5117ak,1805
PD5117al,1805
PD5117am,1805
PD5117an,1805
PD5117ao,1805
PD5117ap,1805
PD5117aq,1805
PD5117ar,1805
PD5117as,1805
PD5117at,1805
PD5117au,1805
PD5117av,1805
PD5117aw,1805
PD5117ax,1805
PD5117ay,1805
PD5117az,1805
PD5117b3,1805
PD5117b5,1805
PD5117ba,1805
PD5117bb,1805
PD5117bc,1805
PD5117bd,1805
PD5117be,1805
PD5117bf,1805
PD5117bg,1805
PD5117bh,1805
