sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD37116b_10	0.288305194798395	0.487193763919822	0.463835811850524	0.510593612939945	875	1796	0.624661255396522
PD37116b_11	0.857155772229137	0.496849684968497	0.467040832615689	0.526675260191926	552	1111	0.891442003118303
PD37116b_12	0.67132513537123	0.485294117647059	0.42450624371366	0.546405842359986	132	272	0.812949269096597
PD37116b_13	0.85560168053211	0.505175983436853	0.459638319677646	0.550649920095496	244	483	0.891442003118303
PD37116b_14	1	0.5	0.47616687057729	0.52383312942271	865	1730	1
PD37116b_15	0.10016982616013	0.448148148148148	0.387836733467657	0.50961022821571	121	270	0.439661025344543
PD37116b_16	0.327140455092096	0.460227272727273	0.384981360109693	0.536835387562826	81	176	0.654280910184192
PD37116b_17	0.687880150774044	0.494261119081779	0.467692377851438	0.520854094995553	689	1394	0.812949269096597
PD37116b_18	0.266384086413919	0.525691699604743	0.481154098205307	0.56992751063396	266	506	0.624661255396522
PD37116b_19	0.179243784651538	0.484182305630027	0.461273291044279	0.507141142056252	903	1865	0.517815377882222
PD37116b_1	0.0501024597324431	0.6875	0.49992241836783	0.838815275911799	22	32	0.439661025344543
PD37116b_20	0.0795735285731527	0.525179856115108	0.497076684289959	0.55316443737658	657	1251	0.439661025344543
PD37116b_21	0.614981409226001	0.506641366223909	0.481688042141512	0.531569985196321	801	1581	0.799475831993801
PD37116b_22	0.841756395387549	0.49753937007874	0.475570584281955	0.51951526513844	1011	2032	0.891442003118303
PD37116b_24	0.576141295528793	0.506782419967444	0.483690475368244	0.529852744978503	934	1843	0.788403878092032
PD37116b_25	0.0792135418840633	0.521387283236994	0.497539356905112	0.545162549670201	902	1730	0.439661025344543
PD37116b_26	0.112891253090492	0.516315572077654	0.496193229425104	0.536398393601594	1250	2421	0.439661025344543
PD37116b_27	0.528957598669996	0.491397109428768	0.465387297387734	0.517441764370432	714	1453	0.76404986474555
PD37116b_2	0.026792395128384	0.462882096069869	0.430209998048753	0.495793593412767	424	916	0.439661025344543
PD37116b_3	0.135280315490629	0.476282671829622	0.445446945535392	0.507253891487799	492	1033	0.439661025344543
PD37116b_4	0.22168143944254	0.483038348082596	0.456133599993333	0.510016747169881	655	1356	0.576371742550603
PD37116b_5	0.466098412958938	0.476014760147601	0.415257775291557	0.537301934528916	129	271	0.757409921058275
PD37116b_6	0.384387986725767	0.515738498789346	0.481047781261649	0.550316544204673	426	826	0.713863403919281
PD37116b_7	0.12443159581382	0.518435754189944	0.494995172548269	0.541815817406998	928	1790	0.439661025344543
PD37116b_8	0.528682587201728	0.4920728126835	0.468066132096333	0.516106854319915	838	1703	0.76404986474555
PD37116b_9	0.429060726061586	0.51357220412595	0.480750255768858	0.546307099879082	473	921	0.74370525850675
