sample_name	rl20	genome_span	genome_size	fraction_span
PD44603_11	4	484636975	2881033286	0.168216374782974
PD44603_12	4	288453049	2881033286	0.100121387143182
PD44603_13	4	439032719	2881033286	0.152387242845621
PD44603_14	4	509298496	2881033286	0.176776331767796
PD44603_15	4	417437303	2881033286	0.144891523825317
PD44603_16	3	113757064	2881033286	0.0394848141994011
PD44603_17	1	0	2881033286	0
PD44603_1	4	540434573	2881033286	0.187583592187626
PD44603_2	4	653366534	2881033286	0.226782015041252
PD44603_3	4	427154362	2881033286	0.148264292563262
PD44603_4	4	438918793	2881033286	0.152347699394126
PD44603_5	4	432367804	2881033286	0.150073866241336
PD44603_6	3	332917994	2881033286	0.115555066863604
PD44603_7	4	482602091	2881033286	0.167510071246015
PD44603_8	4	448268352	2881033286	0.15559290973079
PD44603_9	4	492997982	2881033286	0.171118461003439
