sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD37240b_10	0.628337548215006	0.516483516483517	0.455473440585771	0.577131940997257	141	273	0.767780380254489
PD37240b_13	0.519012502376645	0.490974729241877	0.464328367337569	0.517659453557473	680	1385	0.735809369488154
PD37240b_14	0.223420896064834	0.486770072992701	0.465647475939348	0.507928086685819	1067	2192	0.52663496929568
PD37240b_15	0.183973692294594	0.526717557251908	0.487670783798457	0.565522561541785	345	655	0.474469585735302
PD37240b_16	0.579728594142182	0.488262910798122	0.448854915144078	0.527779800544391	312	639	0.735809369488154
PD37240b_17	0.288482162065654	0.485924932975871	0.460278050507249	0.511627320435916	725	1492	0.621361945029646
PD37240b_18	0.418771574085919	0.520361990950226	0.472653907588208	0.567795830453849	230	442	0.673918265169386
PD37240b_19	0.943930473857126	0.504950495049505	0.433900332964496	0.575853246410192	102	202	0.973428301165161
PD37240b_1	0.738436281533366	0.497470489038786	0.483142464190284	0.511801629666351	2360	4744	0.840289561744864
PD37240b_20	0.576130300064627	0.51037851037851	0.475547264582051	0.545134815637501	418	819	0.735809369488154
PD37240b_21	0.0498873866194409	0.471321695760599	0.442797796175511	0.499986097745786	567	1203	0.391480470575198
PD37240b_22	0.776397781892766	0.503641456582633	0.480176894130057	0.527094031753665	899	1785	0.854037560082043
PD37240b_23	0.0146884272137651	0.58974358974359	0.517212372728822	0.659503170177367	115	195	0.242359049027124
PD37240b_24	0.651450019609869	0.50635593220339	0.479971957079451	0.5327134870959	717	1416	0.767780380254489
PD37240b_25	0.302502330441108	0.513621262458472	0.488031756156849	0.539157520823006	773	1505	0.621361945029646
PD37240b_26	0.183839017694888	0.517308948399739	0.491938959674891	0.542612430708576	792	1531	0.474469585735302
PD37240b_28	0.984949592350044	0.499644128113879	0.480987775899171	0.518301222361445	1404	2810	0.984949592350044
PD37240b_29	0.0988717495929453	0.351351351351351	0.202099815284003	0.525388744373974	13	37	0.391480470575198
PD37240b_2	0.100272299122191	0.468619246861925	0.431589808451419	0.505907860791127	336	717	0.391480470575198
PD37240b_30	0.106767401065963	0.51605415860735	0.496586990348333	0.535484920520758	1334	2585	0.391480470575198
PD37240b_31	0.124842040283724	0.516129032258065	0.495591162461585	0.536626209445469	1200	2325	0.411978732936288
PD37240b_32	0.105214713768441	0.520496894409938	0.495764965951422	0.545153959207122	838	1610	0.391480470575198
PD37240b_33	0.530722171131329	0.475728155339806	0.405889682903338	0.546275169609008	98	206	0.735809369488154
PD37240b_34	0.571512895946536	0.506948304613674	0.483572422407493	0.530301492961773	912	1799	0.735809369488154
PD37240b_35	0.338924697288898	0.487650411652945	0.462721812737697	0.512625008380101	770	1579	0.621361945029646
PD37240b_36	0.0864937794384429	0.522251308900524	0.496856395098528	0.547560556511922	798	1528	0.391480470575198
PD37240b_3	0.428857077835064	0.483568075117371	0.444192076719599	0.523096526270812	309	639	0.673918265169386
PD37240b_4	0.413206263840201	0.488057324840764	0.460070874101496	0.51609979573287	613	1256	0.673918265169386
PD37240b_5	0.0353038126864553	0.524332810047096	0.501657360185432	0.546933474061837	1002	1911	0.388341939551008
PD37240b_6	0.88673146638801	0.502435064935065	0.474132264162294	0.530726219143421	619	1232	0.943939948090462
PD37240b_7	0.325935483000632	0.512055109070034	0.488291566277789	0.535777981054802	892	1742	0.621361945029646
PD37240b_8	8.40868944285981e-11	0.406015037593985	0.37803718892009	0.434455813847741	486	1197	2.77486751614374e-09
PD37240b_9	0.18691226104724	0.486605357856857	0.466842155018382	0.506399962347615	1217	2501	0.474469585735302
