sample_name	p.value	sd	nr_total_runs	fdr
PD37452_10	0.837527543795491	5.96040056201831	74	0.996860514478173
PD37452_11	0.730523647103183	4.83892598397233	47	0.996860514478173
PD37452_12	0.958315260501788	3.32734181121664	24	1
PD37452_13	0.987200413908004	18.9007491228673	724	1
PD37452_14	0.882466684947891	20.3651419343002	834	0.996860514478173
PD37452_15	NA	NA	1	NA
PD37452_16	0.155479904711957	1.64268460101527	10	0.996860514478173
PD37452_17	0.716688900967623	9.45680017554134	177	0.996860514478173
PD37452_18	0.479043185120832	30.4848892924677	1839	0.996860514478173
PD37452_19	0.139341716228839	30.6689909769172	1839	0.996860514478173
PD37452_1	0.00402049795365185	36.0838927277947	2503	0.245250375172763
PD37452_20	0.477631164417269	32.3997271813857	2124	0.996860514478173
PD37452_21	0.80653634881558	26.7478866829738	1439	0.996860514478173
PD37452_22	0.450126757726858	25.0533487807153	1238	0.996860514478173
PD37452_23	0.448211537953745	26.9337495918495	1433	0.996860514478173
PD37452_24	0.812348455766917	27.0633458077627	1460	0.996860514478173
PD37452_25	0.796759686303088	9.94674144923267	202	0.996860514478173
PD37452_26	0.230960937840334	9.75201862950134	207	0.996860514478173
PD37452_27	0.331672987374418	32.6449360143731	2104	0.996860514478173
PD37452_28	0.0838563051246679	41.414438207968	3505	0.996860514478173
PD37452_29	0.801380966819992	48.2923225411358	4654	0.996860514478173
PD37452_2	0.552440198294644	33.4755419147056	2263	0.996860514478173
PD37452_30	0.0471122004950676	13.1686857528918	326	0.996860514478173
PD37452_31	0.162844538365652	15.0413062538127	433	0.996860514478173
PD37452_32	0.609761429707228	25.0708280566653	1246	0.996860514478173
PD37452_33	0.652200870407349	24.4079711603473	1204	0.996860514478173
PD37452_34	0.646656968678863	31.8885850107896	2050	0.996860514478173
PD37452_35	0.362476726520345	46.135819631164	4217	0.996860514478173
PD37452_36	0.336003821368699	32.2944242610512	2119	0.996860514478173
PD37452_38	0.536631778968687	1.21376039056903	4	0.996860514478173
PD37452_39	NA	NA	1	NA
PD37452_3	0.508628223087223	36.3076911371938	2614	0.996860514478173
PD37452_40	0.723673609831763	0.942809041582063	4	0.996860514478173
PD37452_41	0.0780800583930463	17.1836040072646	562	0.996860514478173
PD37452_42	NA	NA	1	NA
PD37452_43	0.225872355889138	1.65144564768954	5	0.996860514478173
PD37452_44	NA	0	1	NA
PD37452_45	0.479500122186954	0.471404520791031	2	0.996860514478173
PD37452_46	0.831133609678637	40.7484938548237	3315	0.996860514478173
PD37452_47	0.881290763570214	18.2820200263895	669	0.996860514478173
PD37452_48	0.933747757712182	3.73322366397408	30	1
PD37452_49	NA	0	1	NA
PD37452_4	0.0834133546854688	39.8207002766157	3104	0.996860514478173
PD37452_50	0.494004010835809	2.22794048862659	13	0.996860514478173
PD37452_51	NA	0	2	NA
PD37452_52	0.635940475078127	12.5068239527208	309	0.996860514478173
PD37452_53	0.317102624282576	27.814978419677	1577	0.996860514478173
PD37452_54	0.929928853502959	8.66088607909784	151	1
PD37452_55	0.69190883427146	1.92977937674403	10	0.996860514478173
PD37452_56	0.427419272431626	1.42806340173155	8	0.996860514478173
PD37452_57	0.360571564572518	12.386488185771	320	0.996860514478173
PD37452_58	0.289710364020171	2.61762426308916	14	0.996860514478173
PD37452_59	0.479500122186954	0.471404520791031	2	0.996860514478173
PD37452_5	0.794462524177454	26.8931904732937	1455	0.996860514478173
PD37452_60	0.878568012928394	29.5505521129007	1753	0.996860514478173
PD37452_61	0.621166737256869	11.2499302395972	250	0.996860514478173
PD37452_62	1	1.09544511501033	4	1
PD37452_63	0.716004795504331	1.1780301787479	4	0.996860514478173
PD37452_64	0.384088249473852	2.87228132326901	21	0.996860514478173
PD37452_65	0.649230680520368	7.97638103240545	133	0.996860514478173
PD37452_66	0.688086435701116	53.9249366787186	5798	0.996860514478173
PD37452_67	0.13815762147648	57.325789811778	6489	0.996860514478173
PD37452_68	1	1.49071198499986	6	1
PD37452_6	0.629235592880094	67.7918234092676	9165	0.996860514478173
PD37452_7	0.969025138301504	42.0878164687365	3543	1
PD37452_8	0.582751066865552	36.1540026293236	2596	0.996860514478173
PD37452_9	0.181404039309109	19.0535167213361	754	0.996860514478173
