mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
1119	630	CB002_2_01	630	16	631	19	3	3	PASS	simulation	5.89711709631988
1130	551	CB002_2_01	551	25	552	27	2	3	PASS	simulation	6.04732783639559
1141	623	CB002_2_01	623	6	624	10	4	4	PASS	simulation	6.39771944688907
1149	418	CB002_2_01	418	15	419	17	2	4	PASS	simulation	6.33772151721378
1154	556	CB002_2_01	556	9	570	11	2	4	PASS	simulation	7.05093196066441
1158	648	CB002_2_01	648	9	650	16	7	5	PASS	simulation	5.90480392498617
1160	556	CB002_2_01	556	9	578	13	4	5	PASS	simulation	6.74990196500043
1171	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.63875151287776
1183	464	CB002_2_01	464	12	466	21	9	5	PASS	simulation	6.23801860402156
1196	462	CB002_2_01	462	9	463	10	1	4	PASS	simulation	7.65299195199237
1198	568	CB002_2_01	568	24	569	27	3	4	PASS	simulation	5.67374717358299
1203	468	CB002_2_01	468	14	469	20	6	3	PASS	simulation	6.33772151721378
1207	563	CB002_2_01	563	25	564	26	1	3	PASS	simulation	6.78769052588983
1211	568	CB002_2_01	568	24	569	27	3	4	PASS	simulation	5.58480609024621
1212	455	CB002_2_01	455	16	457	21	5	4	PASS	simulation	5.99657429834182
1216	595	CB002_2_01	595	6	596	20	14	3	PASS	simulation	5.95402194765636
1217	574	CB002_2_01	574	19	575	21	2	3	PASS	simulation	6.38192517970584
1219	476	CB002_2_01	476	21	477	23	2	3	PASS	simulation	6.06941536635843
1220	499	CB002_2_01	499	17	503	22	5	3	PASS	simulation	6.22702321972009
1230	427	CB002_2_01	427	19	428	20	1	4	PASS	simulation	6.25505194332034
1237	393	CB002_2_01	393	18	397	22	4	5	PASS	simulation	6.29126411597478
1241	488	CB002_2_01	488	22	489	25	3	3	PASS	simulation	5.84007859534952
1244	475	CB002_2_01	475	16	477	23	7	4	PASS	simulation	6.46735537503046
1248	628	CB002_2_01	628	16	629	17	1	3	PASS	simulation	5.79767474679643
1249	523	CB002_2_01	523	22	525	31	9	5	PASS	simulation	5.91526935866434
1250	510	CB002_2_01	510	22	513	30	8	5	PASS	simulation	5.71347269937376
1252	444	CB002_2_01	444	19	447	25	6	5	PASS	simulation	5.63875151287776
1263	652	CB002_2_01	652	9	655	15	6	5	PASS	simulation	5.84681197800849
1271	545	CB002_2_01	545	13	546	17	4	3	PASS	simulation	6.55032961009523
1278	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.84681197800849
1283	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.84681197800849
1326	508	CB002_2_01	508	19	509	23	4	3	PASS	simulation	6.19059395409342
1335	552	CB002_2_01	552	27	553	31	4	3	PASS	simulation	6.35196195632839
1342	389	CB002_2_01	389	16	390	22	6	3	PASS	simulation	6.66771520881308
1347	551	CB002_2_01	551	25	553	31	6	4	PASS	simulation	5.55724160451156
1352	399	CB002_2_01	399	23	400	27	4	3	PASS	simulation	6.07320835537556
1360	524	CB002_2_01	524	29	525	31	2	4	PASS	simulation	5.90480392498617
1364	561	CB002_2_01	561	20	564	26	6	7	PASS	simulation	6.18563053456187
1372	449	CB002_2_01	449	12	456	20	8	5	PASS	simulation	6.92599322405611
1374	413	CB002_2_01	413	21	415	23	2	3	PASS	simulation	6.06941536635843
1376	447	CB002_2_01	447	25	448	26	1	4	PASS	simulation	5.79565945556111
1377	505	CB002_2_01	505	16	508	19	3	3	PASS	simulation	6.07320835537556
1382	617	CB002_2_01	617	14	618	16	2	3	PASS	simulation	7.52805321538407
1384	561	CB002_2_01	561	20	562	23	3	5	PASS	simulation	6.38192517970584
1387	595	CB002_2_01	595	6	596	20	14	3	PASS	simulation	6.00953927550619
1400	633	CB002_2_01	633	15	634	18	3	3	PASS	simulation	6.55032961009523
1414	570	CB002_2_01	570	11	579	17	6	4	PASS	simulation	7.35196195632839
1418	551	CB002_2_01	551	25	554	38	13	4	PASS	simulation	5.61159926683415
1424	558	CB002_2_01	558	11	562	23	12	7	PASS	simulation	7.52805321538407
1433	447	CB002_2_01	447	25	448	26	1	4	PASS	simulation	5.86060026249412
1435	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.60766897320572
1446	581	CB002_2_01	581	20	582	27	7	3	PASS	simulation	6.1616302581581
1453	648	CB002_2_01	648	9	649	10	1	4	PASS	simulation	6.50686391631414
1454	490	CB002_2_01	490	16	494	20	4	4	PASS	simulation	7.05093196066441
1458	510	CB002_2_01	510	22	513	30	8	5	PASS	simulation	5.71347269937376
1465	403	CB002_2_01	403	17	406	21	4	5	PASS	simulation	6.87484070160873
1469	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.84681197800849
1478	628	CB002_2_01	628	16	629	17	1	3	PASS	simulation	5.79767474679643
1489	483	CB002_2_01	483	13	499	17	4	5	PASS	simulation	6.87484070160873
1505	506	CB002_2_01	506	24	507	29	5	3	PASS	simulation	6.08089518404186
1511	533	CB002_2_01	533	15	534	18	3	4	PASS	simulation	6.20583392065016
1515	500	CB002_2_01	500	23	501	24	1	3	PASS	simulation	5.76089734930189
1517	514	CB002_2_01	514	18	515	23	5	3	PASS	simulation	7.43114320237602
1539	529	CB002_2_01	529	15	530	18	3	3	PASS	simulation	5.95402194765636
1545	588	CB002_2_01	588	12	591	24	12	4	PASS	simulation	5.70523157008097
1556	422	CB002_2_01	422	23	423	25	2	4	PASS	simulation	5.69874944255305
1560	638	CB002_2_01	638	6	643	13	7	7	PASS	simulation	6.82908321104806
1572	653	CB002_2_01	653	11	655	15	4	4	PASS	simulation	6.32393323272815
1582	515	CB002_2_01	515	23	516	24	1	3	PASS	simulation	6.73217319804
1586	556	CB002_2_01	556	9	558	11	2	4	PASS	simulation	6.23801860402156
1588	588	CB002_2_01	588	12	591	24	12	4	PASS	simulation	5.70523157008097
1592	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.84681197800849
1608	403	CB002_2_01	403	17	408	21	4	4	PASS	simulation	6.37423835103955
1614	627	CB002_2_01	627	11	628	16	5	3	PASS	simulation	5.94826961876726
1615	520	CB002_2_01	520	23	521	27	4	3	PASS	simulation	5.71513985874122
1616	592	CB002_2_01	592	7	594	9	2	3	PASS	simulation	5.97175071461679
1623	556	CB002_2_01	556	9	561	20	11	6	PASS	simulation	6.87484070160873
1626	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.84681197800849
1645	551	CB002_2_01	551	25	554	38	13	4	PASS	simulation	5.54465247720354
1660	497	CB002_2_01	497	24	498	26	2	5	PASS	simulation	6.02290323706417
1683	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.60766897320572
1687	632	CB002_2_01	632	13	634	18	5	5	PASS	simulation	5.94826961876726
1702	640	CB002_2_01	640	10	643	13	3	4	PASS	simulation	6.35196195632839
1706	561	CB002_2_01	561	20	567	21	1	3	PASS	simulation	5.94826961876726
1711	550	CB002_2_01	550	14	552	27	13	4	PASS	simulation	6.61159926683415
1714	434	CB002_2_01	434	17	435	20	3	4	PASS	simulation	5.97175071461679
1715	436	CB002_2_01	436	19	437	20	1	3	PASS	simulation	5.90480392498617
1721	393	CB002_2_01	393	18	394	21	3	4	PASS	simulation	7.65299195199237
1722	475	CB002_2_01	475	16	476	21	5	3	PASS	simulation	6.39771944688907
1728	449	CB002_2_01	449	12	450	13	1	5	PASS	simulation	7.22702321972009
1730	595	CB002_2_01	595	6	596	20	14	3	PASS	simulation	6.00953927550619
1732	587	CB002_2_01	587	5	588	12	7	3	PASS	simulation	6.9839851710338
1739	644	CB002_2_01	644	10	646	15	5	4	PASS	simulation	5.89966428533376
1742	447	CB002_2_01	447	25	448	26	1	5	PASS	simulation	5.86060026249412
1743	540	CB002_2_01	540	17	543	22	5	5	PASS	simulation	6.11307986741326
1751	547	CB002_2_01	547	18	548	22	4	4	PASS	simulation	6.17587069727271
1757	505	CB002_2_01	505	16	509	23	7	4	PASS	simulation	6.19059395409342
1758	510	CB002_2_01	510	22	513	30	8	5	PASS	simulation	5.71347269937376
1760	617	CB002_2_01	617	14	618	16	2	3	PASS	simulation	6.24929961443125
1774	447	CB002_2_01	447	25	448	26	1	5	PASS	simulation	5.86060026249412
1776	409	CB002_2_01	409	16	416	31	15	6	PASS	simulation	6.29126411597478
1778	436	CB002_2_01	436	19	437	20	1	3	PASS	simulation	6.09668945122509
1786	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.57381070594475
1792	628	CB002_2_01	628	16	629	17	1	3	PASS	simulation	5.79767474679643
1802	515	CB002_2_01	515	23	517	29	6	4	PASS	simulation	5.82908321104806
1803	434	CB002_2_01	434	17	435	20	3	4	PASS	simulation	6.06565521748512
1816	520	CB002_2_01	520	23	521	27	4	3	PASS	simulation	5.68295517536982
1826	640	CB002_2_01	640	10	643	13	3	4	PASS	simulation	6.14784197367247
1847	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.7837602322614
1850	547	CB002_2_01	547	18	548	22	4	4	PASS	simulation	5.99977943821703
1871	587	CB002_2_01	587	5	591	24	19	5	PASS	simulation	6.44887196933645
1874	409	CB002_2_01	409	16	411	20	4	6	PASS	simulation	6.87484070160873
1875	533	CB002_2_01	533	15	534	18	3	4	PASS	simulation	6.20583392065016
1882	426	CB002_2_01	426	16	429	17	1	6	PASS	simulation	5.86294147830902
1901	514	CB002_2_01	514	18	517	29	11	5	PASS	simulation	5.82908321104806
1911	515	CB002_2_01	515	23	517	29	6	4	PASS	simulation	5.99977943821703
1929	524	CB002_2_01	524	29	525	31	2	4	PASS	simulation	5.67223130997805
1931	389	CB002_2_01	389	16	390	22	6	3	PASS	simulation	6.73217319804
1943	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.63875151287776
1947	556	CB002_2_01	556	9	558	11	2	4	PASS	simulation	6.23801860402156
1955	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.57381070594475
1957	581	CB002_2_01	581	20	582	27	7	3	PASS	simulation	6.1616302581581
1959	518	CB002_2_01	518	19	519	23	4	3	PASS	simulation	6.65299195199237
1961	393	CB002_2_01	393	18	396	23	5	9	PASS	simulation	6.20583392065016
1974	432	CB002_2_01	432	17	433	24	7	3	PASS	simulation	6.09668945122509
1975	623	CB002_2_01	623	6	624	10	4	4	PASS	simulation	6.48666053022585
1984	568	CB002_2_01	568	24	569	27	3	4	PASS	simulation	5.67374717358299
1988	533	CB002_2_01	533	15	534	18	3	4	PASS	simulation	6.02974266159447
1989	568	CB002_2_01	568	24	569	27	3	3	PASS	simulation	5.67374717358299
