mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
620	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
625	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
627	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
634	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
638	94	PD34206	94	3102	103	5436	2334	4	PASS	simulation	4.40422288230034
644	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
646	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
652	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
655	90	PD34206	90	708	95	5748	5040	6	PASS	simulation	4.84811163677479
661	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
668	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
670	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
685	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
705	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
712	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
713	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
738	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
743	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
748	98	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
756	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
760	95	PD34206	95	5748	100	7180	1432	7	PASS	simulation	4.61166003243401
765	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
776	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
782	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
783	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
789	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
815	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
820	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
824	90	PD34206	90	708	96	6206	5498	7	PASS	simulation	4.86849567780823
828	91	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
829	91	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
831	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
840	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
861	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
869	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
878	97	PD34206	95	5748	98	6643	895	4	PASS	simulation	4.24681218345407
879	87	PD34206	87	172	88	5997	5825	3	PASS	simulation	5.02159490431561
894	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
908	97	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.2700316718733
912	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
916	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
922	103	PD34206	93	2815	95	5748	2933	5	PASS	simulation	4.34857293508323
926	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
933	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
937	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
946	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
949	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
977	90	PD34206	90	708	98	6643	5935	8	PASS	simulation	4.84527618938901
980	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
987	56	PD34206	56	8	62	16	8	4	PASS	simulation	5.8050093606884
1004	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1021	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1027	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1031	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1036	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1037	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1052	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1056	72	PD34206	72	631	73	687	56	3	PASS	simulation	4.84979528760713
1058	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1059	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1065	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1073	98	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1076	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1081	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1084	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1102	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1111	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1113	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1114	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1117	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.60591724295344
1119	87	PD34206	87	172	88	5997	5825	3	PASS	simulation	5.02159490431561
1133	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
1143	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1150	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
1154	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1159	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1165	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1166	91	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1178	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1183	96	PD34206	96	6206	102	7239	1033	8	PASS	simulation	5.39807962142765
1188	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.60591724295344
1194	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1195	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1211	72	PD34206	72	631	73	687	56	3	PASS	simulation	4.84979528760713
1225	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1232	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1242	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1245	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1249	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1253	87	PD34206	87	172	88	5997	5825	3	PASS	simulation	5.02159490431561
1254	64	PD34206	64	12	94	3102	3090	11	PASS	simulation	5.8313318627961
1255	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1267	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
1279	93	PD34206	93	2815	101	7194	4379	11	PASS	simulation	5.35622589931176
1284	58	PD34206	58	34	60	4088	4054	4	PASS	simulation	5.87661545157938
1285	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1288	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1289	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1291	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1293	95	PD34206	95	5748	98	6643	895	4	PASS	simulation	4.24681218345407
1294	68	PD34206	68	341	72	631	290	4	PASS	simulation	4.7765532117349
1296	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1302	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1305	72	PD34206	72	631	73	687	56	3	PASS	simulation	4.84979528760713
1307	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1320	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1336	94	PD34206	94	3102	96	6206	3104	5	PASS	simulation	5.23473961499079
1342	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1349	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1354	72	PD34206	72	631	75	710	79	4	PASS	simulation	4.88496885243042
1360	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1370	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1376	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1388	68	PD34206	68	341	72	631	290	4	PASS	simulation	6.10061508234222
1392	72	PD34206	72	631	75	710	79	4	PASS	simulation	4.88496885243042
1395	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1397	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1398	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
1399	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1406	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1421	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
1423	98	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1435	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1436	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1443	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1449	72	PD34206	72	631	73	687	56	3	PASS	simulation	4.84979528760713
1454	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1468	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1479	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1481	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1483	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1487	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
1491	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.11126192958943
1493	97	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.2700316718733
1495	98	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1507	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1508	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1515	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1520	94	PD34206	94	3102	101	7194	4092	10	PASS	simulation	6.22200853818587
1524	90	PD34206	90	708	98	6643	5935	8	PASS	simulation	4.84527618938901
1528	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1536	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1537	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1544	84	PD34206	84	30	91	864	834	5	PASS	simulation	5.72484442019693
1557	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1559	90	PD34206	90	708	95	5748	5040	6	PASS	simulation	4.84811163677479
1567	103	PD34206	93	2815	95	5748	2933	5	PASS	simulation	4.34857293508323
1577	93	PD34206	93	2815	99	7104	4289	8	PASS	simulation	5.12862482080631
1591	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1596	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1597	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1598	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1601	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1602	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1609	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1613	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1622	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
1636	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1649	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1651	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.56571848859587
1652	58	PD34206	58	34	61	35	1	3	PASS	simulation	5.37712672644688
1656	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1662	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1666	103	PD34206	93	2815	95	5748	2933	5	PASS	simulation	4.34857293508323
1667	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
1669	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.56571848859587
1671	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1672	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1673	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1685	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1718	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1719	87	PD34206	83	25	86	41	16	5	PASS	simulation	6.55473460533933
1720	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1724	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1733	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1742	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.56571848859587
1749	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
1754	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1759	70	PD34206	70	365	73	687	322	4	PASS	simulation	5.89446568252659
1760	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1763	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1767	91	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
1773	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.1408762630693
1780	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1790	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1794	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1797	90	PD34206	90	708	98	6643	5935	8	PASS	simulation	4.84527618938901
1800	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1805	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.56571848859587
1808	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
1810	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1825	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1832	90	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1841	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1861	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1876	68	PD34206	68	341	72	631	290	4	PASS	simulation	4.7765532117349
1910	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
1924	97	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.2700316718733
1955	87	PD34206	87	172	88	5997	5825	3	PASS	simulation	4.95719437031536
1959	94	PD34206	94	3102	98	6643	3541	6	PASS	simulation	5.21152012657156
1963	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1976	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
1988	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
1990	61	PD34206	57	10	58	34	24	3	PASS	simulation	6.57192713553947
1992	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
1993	93	PD34206	93	2815	98	6643	3828	7	PASS	simulation	4.34573748769745
1996	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
