mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
3	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
13	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
15	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
18	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
21	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
23	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
24	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
29	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
31	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
33	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
34	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
35	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
36	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
38	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
51	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
52	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
53	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
62	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
67	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
72	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
73	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
74	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
77	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
80	10	PD28690	10	5091	10	5091	0	2	PASS	simulation	2.36173669946839
83	13	PD28690	13	12	14	952	940	4	PASS	simulation	4.0484663078355
85	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
89	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
90	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
91	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
94	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
99	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
101	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
104	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
106	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
107	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
117	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
131	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
132	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
137	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
139	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
142	13	PD28690	13	12	14	952	940	4	PASS	simulation	4.0484663078355
144	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
148	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
162	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
165	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
167	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
173	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
175	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
189	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
192	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
198	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
201	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
204	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
220	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
221	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
223	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
225	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
226	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
232	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
240	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
254	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
255	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
261	12	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
263	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
266	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
271	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
278	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
280	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
282	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
284	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
290	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
300	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
303	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
304	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
306	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
309	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
314	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
315	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
317	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
320	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
330	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
331	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
333	13	PD28690	13	12	14	952	940	4	PASS	simulation	4.0484663078355
338	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
340	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
343	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
344	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
346	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
347	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
348	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
351	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
354	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
372	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
373	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
375	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
376	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
382	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
393	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
396	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
398	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.77631581166276
399	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
403	10	PD28690	10	5091	12	7073	1982	3	PASS	simulation	2.83536612044734
404	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
411	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
416	10	PD28690	10	5091	11	6179	1088	3	PASS	simulation	2.49241023577436
