Sample,Project
PD45792b_lo0286,2189
PD45792b_lo0287,2189
PD45793b_lo0001,2256
PD45793b_lo0002,2256
PD45793b_lo0003,2256
PD45793b_lo0004,2256
PD45793b_lo0005,2256
PD45793b_lo0006,2256
PD45793b_lo0007,2256
PD45793b_lo0008,2256
PD45793b_lo0009,2256
PD45793b_lo0010,2256
PD45793b_lo0011,2256
PD45793b_lo0012,2256
PD45793b_lo0013,2256
PD45793b_lo0014,2256
PD45793b_lo0015,2256
PD45793b_lo0016,2256
PD45793b_lo0017,2256
PD45793b_lo0018,2256
PD45793b_lo0019,2256
PD45793b_lo0020,2256
PD45793b_lo0021,2256
PD45793b_lo0022,2256
PD45793b_lo0023,2256
PD45793b_lo0024,2256
PD45793b_lo0025,2256
PD45793b_lo0026,2256
PD45793b_lo0027,2256
PD45793b_lo0028,2256
PD45793b_lo0029,2256
PD45793b_lo0030,2256
PD45793b_lo0031,2256
PD45793b_lo0032,2256
PD45793b_lo0034,2256
PD45793b_lo0035,2256
PD45793b_lo0036,2256
PD45793b_lo0038,2256
PD45793b_lo0039,2256
PD45793b_lo0040,2256
PD45793b_lo0041,2256
PD45793b_lo0042,2256
PD45793b_lo0043,2256
PD45793b_lo0045,2256
PD45793b_lo0046,2256
PD45793b_lo0049,2256
PD45793b_lo0052,2256
PD45793b_lo0053,2256
PD45793b_lo0054,2256
PD45793b_lo0057,2256
PD45793b_lo0058,2256
PD45793b_lo0059,2256
PD45793b_lo0060,2256
PD45793b_lo0061,2256
PD45793b_lo0062,2256
PD45793b_lo0064,2256
PD45793b_lo0066,2256
PD45793b_lo0067,2256
PD45793b_lo0068,2256
PD45793b_lo0069,2256
PD45793b_lo0070,2256
PD45793b_lo0071,2256
PD45793b_lo0072,2256
PD45793b_lo0073,2256
PD45793b_lo0075,2256
PD45793b_lo0076,2256
PD45793b_lo0077,2256
PD45793b_lo0078,2256
PD45793b_lo0080,2256
PD45793b_lo0082,2256
PD45793b_lo0083,2256
PD45793b_lo0084,2256
PD45793b_lo0085,2256
PD45793b_lo0086,2256
PD45793b_lo0087,2256
PD45793b_lo0088,2256
PD45793b_lo0089,2256
PD45793b_lo0091,2256
PD45793b_lo0092,2256
PD45793b_lo0094,2256
PD45793b_lo0095,2256
PD45793b_lo0096,2256
PD45793b_lo0097,2256
PD45793b_lo0099,2256
PD45793b_lo0102,2256
PD45793b_lo0106,2256
PD45793b_lo0108,2256
PD45793b_lo0109,2256
PD45793b_lo0110,2256
PD45793b_lo0111,2256
PD45793b_lo0112,2256
PD45793b_lo0114,2256
PD45793b_lo0115,2256
PD45793b_lo0116,2256
PD45793b_lo0117,2256
PD45793b_lo0118,2256
PD45793b_lo0119,2256
PD45793b_lo0120,2256
PD45793b_lo0121,2256
PD45793b_lo0122,2256
PD45793b_lo0123,2256
PD45793b_lo0124,2256
PD45793b_lo0125,2256
PD45793b_lo0127,2256
PD45793b_lo0128,2256
PD45793b_lo0130,2256
PD45793b_lo0131,2256
PD45793b_lo0132,2256
PD45793b_lo0134,2256
PD45793b_lo0135,2256
